address,Project Name,Project Description,Status,Permit Issue Date,Permit Final Date,Construction Valuation,lng,lat,type
10595 Main St.,Alamo Manhattan Main Street - South Building (Bldg 2),"Construction of two residential towers, plus a parking garage",Construction completed,9/20/13,8/28/15,44.5 million,-122.1988521,47.6101341,Apartments
11011 N.E. 9th St.,Alley 111 Apartments,12-story mixed-use building and construction of a four-level garage,Construction completed,6/10/13,1/21/16,47.3 million,-122.192324,47.6178288,Apartments
10833 N.E. 2nd St.,Bank of America Interim Site,"Demolition of existing 3,800 square-foot structure; construction of a 5,600 square-foot, single-story building with parking",Construction completed,6/20/14,11/12/14,606.3 thousand,-122.1958041,47.6118381,Retail
10116 N.E. 8th St.,Bartell Drugs Expansion,Expansion and tenant improvements to existing Bartell Drugs including associated building exterior facade and site modifications,Construction completed,6/2/15,12/10/15,2.0 million,-122.2053506,47.6184384,Retail
204 111th Ave. N.E.,Bellevue Apartments,Demolish existing house and construct 57-unit apartment building with parking,Construction completed,12/17/13,8/20/15,5.9 million,-122.1920073,47.6121931,Apartments
10333 Main St.,Bellevue At Main Street,"Mixed-use development including retail/restaurant at street level and residential units above, plus parking garage",Construction completed,5/14/14,4/19/16,51.9 million,-122.2023168,47.6098881,Apartments
450 110th Ave. N.E.,Bellevue City Hall East Garage Expansion - COBFac,Construction of four-story addition to existing four-story parking garage,Construction completed,7/14/15,12/5/16,5.6 million,-122.1923255,47.6146248,Other
88 102nd Ave. N.E.,Bellevue Park Apartments - Above Grade,"Phase II of proposed nine-story apartment building, plus parking garage",Construction completed,7/22/13,9/13/16,32.4 million,-122.2041551,47.6111078,Apartments
415 106th Ave. N.E.,Centre 425 - Tower (415 Bellevue Office),"Construction of a 16-story office building with parking garage, branch bank and retail",Construction completed,9/28/15,2/7/17,77.0 million,-122.199431,47.6141379,Office
10360 Main St.,Main Street Gateway- Phase II,"Construction of mixed-use residential building, plus parking garage",Construction completed,5/28/15,2/23/17,68.3 million,-122.2018801,47.610219,Apartments
200 110th Ave. N.E.,Marriott Hotel Tower,"Sixteen-floor hotel, penthouse and roof structure and enclosed amenity pool, plus parking garage",Construction completed,6/4/13,11/18/15,64.1 million,-122.19285,47.6127214,Hotel
929 108th Ave. N.E.,Nine Two Nine Office Tower,"Construction of above-grade portion of tower, plus parking garage",Construction completed,8/29/14,10/11/16,117.9 million,-122.1964,47.6188549,Office
1019 103rd Ave. N.E.,103rd Ave. Apartments,"Construction of a 162-unit, six-story, multifamily residential building with parking garage",Under construction,6/17/16,,28.8 million,-122.2034006,47.6198337,Apartments
888 108th Ave. N.E.,888 Bellevue Tower,Construction of an above-grade tower with below-grade parking and a podium,Under construction,12/27/16,,34.7 million,-122.1963309,47.6186027,Apartments
1000 100th Ave. N.E.,Bellevue Vuecrest - Residential Tower,Construction of a residential apartment building with parking garage,Under construction,10/17/16,,25.2 million,-122.2068,47.619771,Apartments
10961 N.E. 2nd Pl.,Evergreen Plaza Apartments - Residential,8-story residential multifamily apartment building and parking garage,Under construction,6/30/16,,36.0 million,-122.194,47.6124129,Apartments
10485 N.E. 6th St.,Lincoln Square Expansion - North Tower (Residential & Hotel Tower),Construction of Lincoln Square Expansion North Residential Tower,Under construction,7/17/15,,98.0 million,-122.2004852,47.6155977,Apartments
10628 N.E. 2nd St.,Marriott AC Hotel - Tower,"Construction of a six-level hotel tower with guestrooms, plus parking garage",Under construction,12/21/15,,25.6 million,-122.198,47.6122597,Hotel
288 111th Ave. N.E.,Metro 112 Phase II,"Construction of a 6-story residential building with 55 apartments and 2 live-work units, plus parking garage",Under construction,7/7/16,,7.7 million,-122.1922989,47.6128171,Apartments
10777 N.E.10th St.,Washington Sq. Hilton Garden Inn,"Construction of remaining five levels of hotel, including fitness center, pool, spa, exterior pool patio and parking garage",Under construction,12/23/15,,32.4 million,-122.197,47.6192681,Hotel
10625 Main St.,Alamo Manhattan B2 - Building 1 & Underground Garage,"150+ market-rate apartment units and retail, with parking garage",Construction soon,,,29.4 million,-122.1984,47.6099772,Apartments
10833 N.E. 8th St.,ELEV8 - Garage,6 levels of below-grade parking along with foundation for the proposed two residential towers and mid-block connector,Construction soon,,,73.4 million,-122.1958817,47.6173641,Other
